,Close,High,Low,Open,Volume,SMA_50,SMA_200,Trend,Crossover,Average_50,Median_50,DC_Upper_20,DC_Lower_20,DC_Mid_20,SMA_50_upper_2.0,SMA_50_lower_2.0,SMA_vs_Median_50_50,Median_Crossover_50_50,Median_Crossover_50_50_num,HL_range,Chaikin_Volatility_100,"('Close', '^GSPC')","('High', '^GSPC')","('Low', '^GSPC')","('Open', '^GSPC')","('Volume', '^GSPC')"
2000-01-03,1455.219970703125,1478.0,1438.3599853515625,1469.25,931800000.0,,,Hold,True,,,,,,,,,Equal,0,39.6400146484375,39.6400146484375,,,,,
2000-01-04,1399.4200439453125,1455.219970703125,1397.4300537109375,1455.219970703125,1009000000.0,,,Hold,False,,,,,,,,,Equal,0,57.7899169921875,39.99941865524443,,,,,
2000-01-05,1402.1099853515625,1413.27001953125,1377.6800537109375,1399.4200439453125,1085500000.0,,,Hold,False,,,,,,,,,Equal,0,35.5899658203125,39.91210275752301,,,,,
2000-01-06,1403.449951171875,1411.9000244140625,1392.0999755859375,1402.1099853515625,1092300000.0,,,Hold,False,,,,,,,,,Equal,0,19.800048828125,39.51384426387156,,,,,
2000-01-07,1441.469970703125,1441.469970703125,1400.72998046875,1403.449951171875,1225200000.0,,,Hold,False,,,,,,,,,Equal,0,40.739990234375,39.538124382099355,,,,,
2000-01-10,1457.5999755859375,1464.3599853515625,1441.469970703125,1441.469970703125,1064800000.0,,,Hold,False,,,,,,,,,Equal,0,22.8900146484375,39.20845884281892,,,,,
2000-01-11,1438.56005859375,1458.6600341796875,1434.4200439453125,1457.5999755859375,1014000000.0,,,Hold,False,,,,,,,,,Equal,0,24.239990234375,38.91205352383983,,,,,
2000-01-12,1432.25,1442.5999755859375,1427.0799560546875,1438.56005859375,974600000.0,,,Hold,False,,,,,,,,,Equal,0,15.52001953125,38.44884492992716,,,,,
2000-01-13,1449.6800537109375,1454.199951171875,1432.25,1432.25,1030400000.0,,,Hold,False,,,,,,,,,Equal,0,21.949951171875,38.12213416244098,,,,,
2000-01-14,1465.1500244140625,1473.0,1449.6800537109375,1449.6800537109375,1085900000.0,,,Hold,False,,,,,,,,,Equal,0,23.3199462890625,37.82902153128497,,,,,
2000-01-18,1455.1400146484375,1465.1500244140625,1451.300048828125,1465.1500244140625,1056700000.0,,,Hold,False,,,,,,,,,Equal,0,13.8499755859375,37.35418893830779,,,,,
2000-01-19,1455.9000244140625,1461.3900146484375,1448.6800537109375,1455.1400146484375,1087800000.0,,,Hold,False,,,,,,,,,Equal,0,12.7099609375,36.866184423440316,,,,,
2000-01-20,1445.5699462890625,1465.7099609375,1438.5400390625,1455.9000244140625,1100700000.0,,,Hold,False,,,,,,,,,Equal,0,27.169921875,36.6741792244613,,,,,
2000-01-21,1441.3599853515625,1453.1800537109375,1439.5999755859375,1445.5699462890625,1209800000.0,,,Hold,False,,,,,,,,,Equal,0,13.580078125,36.2168702917987,,,,,
2000-01-24,1401.530029296875,1454.0899658203125,1395.4200439453125,1441.3599853515625,1115800000.0,,,Hold,False,,,,,,,,,Equal,0,58.669921875,36.661485174634365,,,,,
2000-01-25,1410.030029296875,1414.260009765625,1388.489990234375,1401.530029296875,1073700000.0,,,Hold,False,,,,,,,,,Equal,0,25.77001953125,36.44581258763665,,,,,
2000-01-26,1404.0899658203125,1412.72998046875,1400.1600341796875,1410.030029296875,1117300000.0,,,Hold,False,,,,,,,,,Equal,0,12.5699462890625,35.97302315598172,,,,,
2000-01-27,1398.56005859375,1418.8599853515625,1370.989990234375,1404.0899658203125,1129500000.0,,,Hold,False,,,,,,,,,Equal,0,47.8699951171875,36.20860675917392,,,,,
2000-01-28,1360.1600341796875,1398.56005859375,1356.199951171875,1398.56005859375,1095800000.0,,,Hold,False,,,,,,,,,Equal,0,42.360107421875,36.33041865348483,,,,,
2000-01-31,1394.4599609375,1394.47998046875,1350.1400146484375,1360.1600341796875,993800000.0,,,Hold,False,,,1478.0,1350.1400146484375,1414.0700073242188,,,,Equal,0,44.3399658203125,36.48902354787745,,,,,
2000-02-01,1409.280029296875,1412.489990234375,1384.7900390625,1394.4599609375,981000000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,27.699951171875,36.31498251072889,,,,,
2000-02-02,1409.1199951171875,1420.6099853515625,1403.489990234375,1409.280029296875,1038600000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,17.1199951171875,35.93488375046074,,,,,
2000-02-03,1424.969970703125,1425.780029296875,1398.52001953125,1409.1199951171875,1146500000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,27.260009765625,35.76310406759271,,,,,
2000-02-04,1424.3699951171875,1435.9100341796875,1420.6300048828125,1424.969970703125,1045100000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,15.280029296875,35.357498626588395,,,,,
2000-02-07,1424.239990234375,1427.1500244140625,1413.3299560546875,1424.3699951171875,918100000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,13.820068359375,34.9310148589208,,,,,
2000-02-08,1441.719970703125,1441.8299560546875,1424.239990234375,1424.239990234375,1047700000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,17.5899658203125,34.58762774924538,,,,,
2000-02-09,1411.7099609375,1444.550048828125,1411.6500244140625,1441.719970703125,1050500000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,32.9000244140625,34.55420986141998,,,,,
2000-02-10,1416.8299560546875,1422.0999755859375,1406.4300537109375,1411.699951171875,1058800000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,15.669921875,34.180263564659185,,,,,
2000-02-11,1387.1199951171875,1416.8299560546875,1378.8900146484375,1416.8299560546875,1025700000.0,,,Hold,False,,,1473.0,1350.1400146484375,1411.5700073242188,,,,Equal,0,37.93994140625,34.254712630829296,,,,,
2000-02-14,1389.93994140625,1394.9300537109375,1380.530029296875,1387.1199951171875,927300000.0,,,Hold,False,,,1465.7099609375,1350.1400146484375,1407.9249877929688,,,,Equal,0,14.4000244140625,33.861550487923026,,,,,
2000-02-15,1402.050048828125,1407.719970703125,1376.25,1389.93994140625,1092100000.0,,,Hold,False,,,1465.7099609375,1350.1400146484375,1407.9249877929688,,,,Equal,0,31.469970703125,33.814192472382466,,,,,
2000-02-16,1387.6700439453125,1404.550048828125,1385.5799560546875,1402.050048828125,1018800000.0,,,Hold,False,,,1465.7099609375,1350.1400146484375,1407.9249877929688,,,,Equal,0,18.9700927734375,33.520249904086526,,,,,
2000-02-17,1388.260009765625,1399.8800048828125,1380.0699462890625,1387.6700439453125,1034800000.0,,,Hold,False,,,1454.0899658203125,1350.1400146484375,1402.114990234375,,,,Equal,0,19.81005859375,33.24876096724818,,,,,
2000-02-18,1346.0899658203125,1388.5899658203125,1345.3199462890625,1388.260009765625,1042300000.0,,,Hold,False,,,1454.0899658203125,1345.3199462890625,1399.7049560546875,,,,Equal,0,43.27001953125,33.447201730891784,,,,,
2000-02-22,1352.1700439453125,1358.1099853515625,1331.8800048828125,1346.0899658203125,980000000.0,,,Hold,False,,,1444.550048828125,1331.8800048828125,1388.2150268554688,,,,Equal,0,26.22998046875,33.30428645837412,,,,,
2000-02-23,1360.68994140625,1370.1099853515625,1342.43994140625,1352.1700439453125,993700000.0,,,Hold,False,,,1444.550048828125,1331.8800048828125,1388.2150268554688,,,,Equal,0,27.6700439453125,33.19271729969963,,,,,
2000-02-24,1353.4300537109375,1364.800048828125,1329.8800048828125,1360.68994140625,1215000000.0,,,Hold,False,,,1444.550048828125,1329.8800048828125,1387.2150268554688,,,,Equal,0,34.9200439453125,33.22692178773157,,,,,
2000-02-25,1333.3599853515625,1362.1400146484375,1329.1500244140625,1353.4300537109375,1065200000.0,,,Hold,False,,,1444.550048828125,1329.1500244140625,1386.8500366210938,,,,Equal,0,32.989990234375,33.222230073803715,,,,,
2000-02-28,1348.050048828125,1360.8199462890625,1325.0699462890625,1333.3599853515625,1026500000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,35.75,33.2722849238274,,,,,
2000-02-29,1366.4200439453125,1369.6300048828125,1348.050048828125,1348.050048828125,1204300000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,21.5799560546875,33.040753659091955,,,,,
2000-03-01,1379.18994140625,1383.4599609375,1366.4200439453125,1366.4200439453125,1274100000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,17.0399169921875,32.72390540826216,,,,,
2000-03-02,1381.760009765625,1386.56005859375,1370.3499755859375,1379.18994140625,1198600000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,16.2100830078125,32.39689902409484,,,,,
2000-03-03,1409.1700439453125,1410.8800048828125,1381.760009765625,1381.760009765625,1150300000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,29.1199951171875,32.33200983781945,,,,,
2000-03-06,1391.280029296875,1409.739990234375,1384.75,1409.1700439453125,1029000000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,24.989990234375,32.18662331101857,,,,,
2000-03-07,1355.6199951171875,1399.2099609375,1349.989990234375,1391.280029296875,1314100000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,49.219970703125,32.523917318783056,,,,,
2000-03-08,1366.699951171875,1373.7900390625,1346.6199951171875,1355.6199951171875,1203000000.0,,,Hold,False,,,1444.550048828125,1325.0699462890625,1384.8099975585938,,,,Equal,0,27.1700439453125,32.417900024258884,,,,,
2000-03-09,1401.68994140625,1401.8199462890625,1357.8800048828125,1366.699951171875,1123000000.0,,,Hold,False,,,1422.0999755859375,1325.0699462890625,1373.5849609375,,,,Equal,0,43.93994140625,32.64605925954584,,,,,
2000-03-10,1395.0699462890625,1413.4599609375,1392.0699462890625,1401.68994140625,1138800000.0,,,Hold,False,,,1416.8299560546875,1325.0699462890625,1370.949951171875,,,,Equal,0,21.3900146484375,32.42316728704864,,,,,
2000-03-13,1383.6199951171875,1398.3900146484375,1364.8399658203125,1395.0699462890625,1016100000.0,,,Hold,False,,,1413.4599609375,1325.0699462890625,1369.2649536132812,,,,Equal,0,33.550048828125,32.44548177301055,,,,,
2000-03-14,1359.1500244140625,1395.1500244140625,1359.1500244140625,1383.6199951171875,1094000000.0,1402.2489990234376,,Hold,False,1402.2489990234376,1401.8699951171875,1413.4599609375,1325.0699462890625,1369.2649536132812,1430.2939790039063,1374.2040190429689,0.37900390625009095,Above,1,36.0,32.51586827255489,,,,,
2000-03-15,1392.1400146484375,1397.989990234375,1356.989990234375,1359.1500244140625,1302800000.0,1400.9873999023437,,Hold,False,1400.9873999023437,1401.6099853515625,1413.4599609375,1325.0699462890625,1369.2649536132812,1429.0071479003905,1372.9676519042969,-0.6225854492188319,Below,-1,41.0,32.683870881019146,,,,,
2000-03-16,1458.469970703125,1458.469970703125,1392.1500244140625,1392.1500244140625,1482300000.0,1402.1683984375,,Hold,False,1402.1683984375,1401.8699951171875,1458.469970703125,1325.0699462890625,1391.7699584960938,1430.21176640625,1374.1250304687499,0.29840332031244543,Above,1,66.3199462890625,33.34993178018832,,,,,
2000-03-17,1464.469970703125,1477.3299560546875,1453.3199462890625,1458.469970703125,1295100000.0,1403.4155981445313,,Hold,False,1403.4155981445313,1401.8699951171875,1477.3299560546875,1325.0699462890625,1401.199951171875,1431.483910107422,1375.3472861816406,1.545603027343759,Above,1,24.010009765625,33.16498282940489,,,,,
